#             iks              ib         Eks[eV]         Ein[eV]      Sc_Ein[eV]        Eout[eV]       Diff.[eV]
         1.000000       81.000000       -7.951282       -8.554051        9.104429       -8.554051        0.000000
         1.000000       82.000000       -7.926198       -8.486025        9.170124       -8.486025        0.000000
         1.000000       83.000000       -7.865742       -8.450012        9.135815       -8.450012        0.000000
         1.000000       84.000000       -7.861430       -8.421414        9.150288       -8.421414        0.000000
         1.000000       85.000000       -7.814842       -8.340116        9.173431       -8.340116        0.000000
         1.000000       86.000000       -7.795655       -8.371085        9.113167       -8.371085        0.000000
         1.000000       87.000000       -7.764980       -8.301450        9.196193       -8.301450        0.000000
         1.000000       88.000000       -7.733205       -8.343438        9.128256       -8.343438        0.000000
         1.000000       89.000000       -7.713716       -8.322204        9.126924       -8.322204        0.000000
         1.000000       90.000000       -7.705316       -8.323124        9.099203       -8.323124        0.000000
         1.000000       91.000000       -7.633188       -8.253526        9.080988       -8.253526        0.000000
         1.000000       92.000000       -7.617182       -8.245427        9.092105       -8.245427        0.000000
         1.000000       93.000000       -7.580810       -8.202607        9.081347       -8.202607        0.000000
         1.000000       94.000000       -7.445014       -7.972549        9.143014       -7.972549        0.000000
         1.000000       95.000000       -7.306748       -7.915239        9.029557       -7.915239        0.000000
         1.000000       96.000000       -7.238847       -7.548265        9.337345       -7.548265        0.000000
         1.000000       97.000000       -4.651309       -4.289454        7.460504       -4.289454        0.000000
         1.000000       98.000000       -4.342423       -4.030076        7.292683       -4.030076        0.000000
         1.000000       99.000000       -3.919370       -3.654617        7.043613       -3.654617        0.000000
         1.000000      100.000000       -3.731970       -3.495275        6.929072       -3.495275        0.000000
         1.000000      101.000000       -3.582524       -3.376194        6.846169       -3.376194        0.000000
         1.000000      102.000000       -3.564330       -3.313546        6.899723       -3.313546        0.000000
         1.000000      103.000000       -3.552999       -3.351660        6.839923       -3.351660        0.000000
         1.000000      104.000000       -3.454204       -3.371384        6.674522       -3.371384        0.000000
         1.000000      105.000000       -3.440491       -3.343106        6.682312       -3.343106        0.000000
         1.000000      106.000000       -3.406078       -3.317182        6.648911       -3.317182        0.000000
         1.000000      107.000000       -3.308498       -3.266134        6.574230       -3.266134        0.000000
         1.000000      108.000000       -3.285261       -3.229237        6.592136       -3.229237        0.000000
         1.000000      109.000000       -3.244493       -3.525294        6.248620       -3.525294        0.000000
         1.000000      110.000000       -3.212195       -3.282032        6.393487       -3.282032        0.000000
         1.000000      111.000000       -3.159572       -3.070169        6.566593       -3.070169        0.000000
         1.000000      112.000000       -3.118464       -3.263272        6.326072       -3.263272        0.000000
         1.000000      113.000000       -3.046381       -3.142994        6.295958       -3.142994        0.000000
         1.000000      114.000000       -3.015229       -3.479042        5.976886       -3.479042        0.000000
         1.000000      115.000000       -2.955211       -3.321290        6.042452       -3.321290        0.000000
         1.000000      116.000000       -2.936772       -3.364845        5.962304       -3.364845        0.000000
         1.000000      117.000000       -2.885414       -2.934683        6.315106       -2.934683        0.000000
         1.000000      118.000000       -2.856367       -3.198213        6.094253       -3.198213        0.000000
         1.000000      119.000000       -2.846559       -3.092671        6.150199       -3.092671        0.000000
         1.000000      120.000000       -2.839987       -2.978536        6.222220       -2.978536        0.000000
         1.000000      121.000000       -2.791239       -3.066633        6.114831       -3.066633        0.000000
         1.000000      122.000000       -2.757194       -3.015000        6.068009       -3.015000        0.000000
         1.000000      123.000000       -2.720324       -2.891562        6.157841       -2.891562        0.000000
         1.000000      124.000000       -2.690657       -2.893863        6.125895       -2.893863        0.000000
         1.000000      125.000000       -2.677775       -2.918067        6.052180       -2.918067        0.000000
         1.000000      126.000000       -2.658991       -2.772505        6.199176       -2.772505        0.000000
         1.000000      127.000000       -2.634704       -2.454185        6.419300       -2.454185        0.000000
         1.000000      128.000000       -2.612369       -2.490247        6.371462       -2.490247        0.000000
         1.000000      129.000000       -2.600501       -2.653906        6.229740       -2.653906        0.000000
         1.000000      130.000000       -2.569327       -2.518102        6.293383       -2.518102        0.000000
         1.000000      131.000000       -2.567461       -2.872304        6.001536       -2.872304        0.000000
         1.000000      132.000000       -2.536306       -2.565291        6.206121       -2.565291        0.000000
         1.000000      133.000000       -2.522871       -2.636059        6.117804       -2.636059        0.000000
         1.000000      134.000000       -2.504835       -2.635499        6.121679       -2.635499        0.000000
         1.000000      135.000000       -2.471326       -2.343034        6.347312       -2.343034        0.000000
         1.000000      136.000000       -2.456675       -2.667425        6.065853       -2.667425        0.000000
         1.000000      137.000000       -2.433970       -2.487057        6.151848       -2.487057        0.000000
         1.000000      138.000000       -2.420323       -2.645450        6.017245       -2.645450        0.000000
         1.000000      139.000000       -2.399106       -2.535018        6.058075       -2.535018        0.000000
         1.000000      140.000000       -2.383886       -2.767359        5.864076       -2.767359        0.000000
         1.000000      141.000000       -2.363729       -2.508396        6.060963       -2.508396        0.000000
         1.000000      142.000000       -2.331633       -2.534059        5.998074       -2.534059        0.000000
         1.000000      143.000000       -2.307480       -2.671698        5.871315       -2.671698        0.000000
         1.000000      144.000000       -2.277886       -2.620731        5.891353       -2.620731        0.000000
         1.000000      145.000000       -2.238131       -2.813742        5.656891       -2.813742        0.000000
         1.000000      146.000000       -2.203423       -2.450072        5.932243       -2.450072        0.000000
         1.000000      147.000000       -2.148584       -2.364906        5.899327       -2.364906        0.000000
         1.000000      148.000000       -2.124017       -2.344134        5.898510       -2.344134        0.000000
         1.000000      149.000000       -2.084709       -2.295526        5.849034       -2.295526        0.000000
         1.000000      150.000000       -2.044834       -2.391555        5.790687       -2.391555        0.000000
         1.000000      151.000000       -2.028608       -2.220976        5.857208       -2.220976        0.000000
         1.000000      152.000000       -1.989825       -2.311959        5.798009       -2.311959        0.000000
         1.000000      153.000000       -1.950024       -2.320872        5.729631       -2.320872        0.000000
         1.000000      154.000000       -1.922301       -2.308837        5.700986       -2.308837        0.000000
         1.000000      155.000000       -1.905264       -2.224154        5.791439       -2.224154        0.000000
         1.000000      156.000000       -1.833990       -2.346202        5.603740       -2.346202        0.000000
         1.000000      157.000000       -1.790140       -2.271806        5.550745       -2.271806        0.000000
         1.000000      158.000000       -1.758175       -2.039994        5.735995       -2.039994        0.000000
         1.000000      159.000000       -1.740861       -2.223610        5.575367       -2.223610        0.000000
         1.000000      160.000000       -1.681923       -2.086648        5.571072       -2.086648        0.000000
         1.000000      161.000000       -1.653853       -2.095431        5.616296       -2.095431        0.000000
         1.000000      162.000000       -1.611350       -1.929955        5.637825       -1.929955        0.000000
         1.000000      163.000000       -1.582172       -1.983341        5.592947       -1.983341        0.000000
         1.000000      164.000000       -1.550797       -1.830575        5.624672       -1.830575        0.000000
         1.000000      165.000000       -1.537938       -1.943447        5.549112       -1.943447        0.000000
         1.000000      166.000000       -1.490084       -1.733046        5.619419       -1.733046        0.000000
         1.000000      167.000000       -1.441831       -1.646900        5.615018       -1.646900        0.000000
         1.000000      168.000000       -1.378014       -1.773700        5.472714       -1.773700        0.000000
         1.000000      169.000000       -1.359182       -1.670215        5.593640       -1.670215        0.000000
         1.000000      170.000000       -1.325792       -1.603398        5.582591       -1.603398        0.000000
         1.000000      171.000000       -1.297696       -1.705853        5.474815       -1.705853        0.000000
         1.000000      172.000000       -1.279584       -1.659006        5.474957       -1.659006        0.000000
         1.000000      173.000000       -1.217549       -1.670532        5.431436       -1.670532        0.000000
         1.000000      174.000000       -1.200005       -1.524151        5.487567       -1.524151        0.000000
         1.000000      175.000000       -1.174093       -1.559988        5.461314       -1.559988        0.000000
         1.000000      176.000000       -1.107173       -1.517183        5.455632       -1.517183        0.000000
         1.000000      177.000000       -1.100774       -1.275524        5.560394       -1.275524        0.000000
         1.000000      178.000000       -1.073663       -1.500859        5.380650       -1.500859        0.000000
         1.000000      179.000000       -1.047629       -1.124777        5.562571       -1.124777        0.000000
         1.000000      180.000000       -0.994777       -1.130090        5.531229       -1.130090        0.000000
         1.000000      181.000000       -0.961840       -1.458348        5.273254       -1.458348        0.000000
         1.000000      182.000000       -0.901794       -1.044448        5.489374       -1.044448        0.000000
         1.000000      183.000000       -0.885876       -1.153389        5.385199       -1.153389        0.000000
         1.000000      184.000000       -0.843102       -1.115352        5.375501       -1.115352        0.000000
         1.000000      185.000000       -0.810176       -1.073570        5.358278       -1.073570        0.000000
         1.000000      186.000000       -0.780164       -1.143545        5.332068       -1.143545        0.000000
         1.000000      187.000000       -0.732647       -1.031017        5.335098       -1.031017        0.000000
         1.000000      188.000000       -0.689190       -1.129735        5.212739       -1.129735        0.000000
         1.000000      189.000000       -0.672457       -1.033729        5.306503       -1.033729        0.000000
         1.000000      190.000000       -0.651554       -0.950053        5.283544       -0.950053        0.000000
         1.000000      191.000000       -0.626997       -0.952110        5.296506       -0.952110        0.000000
         1.000000      192.000000       -0.584109       -1.074034        5.176140       -1.074034        0.000000
         1.000000      193.000000       -0.567057       -0.534113        5.439056       -0.534113        0.000000
         1.000000      194.000000       -0.549636       -0.329928        5.489163       -0.329928        0.000000
         1.000000      195.000000       -0.541814       -0.626003        5.364325       -0.626003        0.000000
         1.000000      196.000000       -0.522804       -0.604292        5.351789       -0.604292        0.000000
         1.000000      197.000000       -0.511178       -0.695298        5.331507       -0.695298        0.000000
         1.000000      198.000000       -0.495120       -0.874862        5.216070       -0.874862        0.000000
         1.000000      199.000000       -0.490918       -0.327169        5.473667       -0.327169        0.000000
         1.000000      200.000000       -0.476169       -0.338541        5.459533       -0.338541        0.000000
         1.000000      201.000000       -0.449181       -0.484491        5.338648       -0.484491        0.000000
         1.000000      202.000000       -0.437267       -0.225051        5.467616       -0.225051        0.000000
         1.000000      203.000000       -0.420850       -0.532193        5.329789       -0.532193        0.000000
         1.000000      204.000000       -0.410140       -0.256720        5.433106       -0.256720        0.000000
         1.000000      205.000000       -0.392715       -0.587772        5.230338       -0.587772        0.000000
         1.000000      206.000000       -0.379267       -0.484875        5.298469       -0.484875        0.000000
         1.000000      207.000000       -0.354761       -0.480252        5.273618       -0.480252        0.000000
         1.000000      208.000000       -0.332230       -0.638573        5.152568       -0.638573        0.000000
         1.000000      209.000000       -0.318919       -0.612626        5.196414       -0.612626        0.000000
         1.000000      210.000000       -0.266177       -0.598756        5.131799       -0.598756        0.000000
         1.000000      211.000000       -0.236204       -0.416446        5.203933       -0.416446        0.000000
         1.000000      212.000000       -0.223326       -0.416678        5.162355       -0.416678        0.000000
         1.000000      213.000000       -0.205712       -0.665649        5.050414       -0.665649        0.000000
         1.000000      214.000000       -0.147960       -0.531692        5.082421       -0.531692        0.000000
         1.000000      215.000000       -0.138335       -0.331923        5.130085       -0.331923        0.000000
         1.000000      216.000000       -0.122791       -0.446378        5.065026       -0.446378        0.000000
         1.000000      217.000000       -0.112750       -0.405918        5.090963       -0.405918        0.000000
         1.000000      218.000000       -0.078005       -0.298146        5.117916       -0.298146        0.000000
         1.000000      219.000000       -0.020084       -0.371561        5.041432       -0.371561        0.000000
         1.000000      220.000000       -0.009972       -0.449417        4.986370       -0.449417        0.000000
         1.000000      221.000000        0.026206       -0.297939        5.003294       -0.297939        0.000000
         1.000000      222.000000        0.055992       -0.367885        4.976076       -0.367885        0.000000
         1.000000      223.000000        0.115735       -0.152388        5.043539       -0.152388        0.000000
         1.000000      224.000000        0.131053       -0.111996        5.026844       -0.111996        0.000000
         1.000000      225.000000        0.159322       -0.207665        4.974652       -0.207665        0.000000
         1.000000      226.000000        0.166698       -0.106383        4.976666       -0.106383        0.000000
         1.000000      227.000000        0.187096       -0.193730        4.953878       -0.193730        0.000000
         1.000000      228.000000        0.210046       -0.183129        4.957963       -0.183129        0.000000
         1.000000      229.000000        0.221984       -0.223471        4.972247       -0.223471        0.000000
         1.000000      230.000000        0.289096        0.067794        4.990191        0.067794        0.000000
         1.000000      231.000000        0.303631       -0.096602        4.902433       -0.096602        0.000000
         1.000000      232.000000        0.314020       -0.030433        4.931391       -0.030433        0.000000
         1.000000      233.000000        0.321253        0.006295        4.935261        0.006295        0.000000
         1.000000      234.000000        0.345274        0.148817        4.933362        0.148817        0.000000
         1.000000      235.000000        0.381601        0.065072        4.894290        0.065072        0.000000
         1.000000      236.000000        0.406357        0.014601        4.885302        0.014601        0.000000
         1.000000      237.000000        0.451088        0.100169        4.855546        0.100169        0.000000
         1.000000      238.000000        0.467985        0.191431        4.928834        0.191431        0.000000
         1.000000      239.000000        0.476481        0.229613        4.853117        0.229613        0.000000
         1.000000      240.000000        0.504629        0.175322        4.851923        0.175322        0.000000
         1.000000      241.000000        0.526750        0.223861        4.829287        0.223861        0.000000
         1.000000      242.000000        0.533396        0.228609        4.815153        0.228609        0.000000
         1.000000      243.000000        0.560977        0.316207        4.809345        0.316207        0.000000
         1.000000      244.000000        0.600068        0.244239        4.803190        0.244239        0.000000
         1.000000      245.000000        0.601491        0.249097        4.830111        0.249097        0.000000
         1.000000      246.000000        0.627694        0.415985        4.806472        0.415985        0.000000
         1.000000      247.000000        0.652391        0.330485        4.775521        0.330485        0.000000
         1.000000      248.000000        0.662976        0.419429        4.813637        0.419429        0.000000
         1.000000      249.000000        0.677261        0.312031        4.797068        0.312031        0.000000
         1.000000      250.000000        0.698425        0.333413        4.788949        0.333413        0.000000
         1.000000      251.000000        0.722303        0.280221        4.722953        0.280221        0.000000
         1.000000      252.000000        0.753559        0.411335        4.753895        0.411335        0.000000
         1.000000      253.000000        0.769557        0.466383        4.731941        0.466383        0.000000
         1.000000      254.000000        0.784069        0.455455        4.753091        0.455455        0.000000
         1.000000      255.000000        0.836531        0.437091        4.701896        0.437091        0.000000
         1.000000      256.000000        0.858818        0.503237        4.713038        0.503237        0.000000
         1.000000      257.000000        0.883233        0.676877        4.758655        0.676877        0.000000
         1.000000      258.000000        0.897087        0.696708        4.688693        0.696708        0.000000
         1.000000      259.000000        0.907759        0.528202        4.690504        0.528202        0.000000
         1.000000      260.000000        0.926834        0.679330        4.693620        0.679330        0.000000
         1.000000      261.000000        0.936557        0.612659        4.736180        0.612659        0.000000
         1.000000      262.000000        0.949734        0.546672        4.676979        0.546672        0.000000
         1.000000      263.000000        0.989210        0.662863        4.626244        0.662863        0.000000
         1.000000      264.000000        0.992147        0.651655        4.642848        0.651655        0.000000
         1.000000      265.000000        1.022158        0.722311        4.615528        0.722311        0.000000
         1.000000      266.000000        1.058353        0.756068        4.646255        0.756068        0.000000
         1.000000      267.000000        1.074521        0.761763        4.645217        0.761763        0.000000
         1.000000      268.000000        1.078159        0.791807        4.645699        0.791807        0.000000
         1.000000      269.000000        1.100561        0.813957        4.620468        0.813957        0.000000
         1.000000      270.000000        1.115884        0.729544        4.620887        0.729544        0.000000
         1.000000      271.000000        1.164155        0.792337        4.566464        0.792337        0.000000
         1.000000      272.000000        1.165071        0.727989        4.637583        0.727989        0.000000
         1.000000      273.000000        1.197109        0.882270        4.592583        0.882270        0.000000
         1.000000      274.000000        1.203603        0.843654        4.603523        0.843654        0.000000
         1.000000      275.000000        1.249131        0.904640        4.614356        0.904640        0.000000
         1.000000      276.000000        1.268898        1.033435        4.553536        1.033435        0.000000
         1.000000      277.000000        1.286296        0.970222        4.558403        0.970222        0.000000
         1.000000      278.000000        1.303611        0.932164        4.556801        0.932164        0.000000
         1.000000      279.000000        1.319882        1.041473        4.534127        1.041473        0.000000
         1.000000      280.000000        1.344693        1.093832        4.540251        1.093832        0.000000
         1.000000      281.000000        1.346583        0.954919        4.566158        0.954919        0.000000
         1.000000      282.000000        1.379338        1.160544        4.511738        1.160544        0.000000
         1.000000      283.000000        1.387399        1.054947        4.507598        1.054947        0.000000
         1.000000      284.000000        1.421121        1.105680        4.509291        1.105680        0.000000
         1.000000      285.000000        1.434028        1.096038        4.504945        1.096038        0.000000
         1.000000      286.000000        1.467850        1.215475        4.468394        1.215475        0.000000
         1.000000      287.000000        1.482267        1.148717        4.498656        1.148717        0.000000
         1.000000      288.000000        1.485263        1.143138        4.489906        1.143138        0.000000
         1.000000      289.000000        1.518454        1.193939        4.450975        1.193939        0.000000
         1.000000      290.000000        1.535688        1.221043        4.489270        1.221043        0.000000
         1.000000      291.000000        1.547085        1.145180        4.501571        1.145180        0.000000
         1.000000      292.000000        1.561032        1.262131        4.447656        1.262131        0.000000
         1.000000      293.000000        1.581126        1.352430        4.452266        1.352430        0.000000
         1.000000      294.000000        1.612551        1.284207        4.407218        1.284207        0.000000
         1.000000      295.000000        1.644162        1.264971        4.459957        1.264971        0.000000
         1.000000      296.000000        1.651223        1.389707        4.425481        1.389707        0.000000
         1.000000      297.000000        1.675891        1.277634        4.448109        1.277634        0.000000
         1.000000      298.000000        1.685238        1.324808        4.450384        1.324808        0.000000
         1.000000      299.000000        1.708824        1.348918        4.454951        1.348918        0.000000
         1.000000      300.000000        1.726007        1.382291        4.454565        1.382291        0.000000
         1.000000      301.000000        1.779840        1.498046        4.431089        1.498046        0.000000
         1.000000      302.000000        1.788100        1.462317        4.427810        1.462317        0.000000
         1.000000      303.000000        1.818522        1.516491        4.404894        1.516491        0.000000
         1.000000      304.000000        1.830592        1.474337        4.369273        1.474337        0.000000
         1.000000      305.000000        1.856615        1.547668        4.386045        1.547668        0.000000
         1.000000      306.000000        1.872167        1.522090        4.363675        1.522090        0.000000
         1.000000      307.000000        1.882176        1.503402        4.381677        1.503402        0.000000
         1.000000      308.000000        1.902157        1.528188        4.377747        1.528188        0.000000
         1.000000      309.000000        1.924602        1.499059        4.354579        1.499059        0.000000
         1.000000      310.000000        1.948775        1.579867        4.383503        1.579867        0.000000
         1.000000      311.000000        1.977381        1.679155        4.296069        1.679155        0.000000
         1.000000      312.000000        1.982327        1.631310        4.341074        1.631310        0.000000
         1.000000      313.000000        1.996791        1.683268        4.297564        1.683268        0.000000
         1.000000      314.000000        2.038681        1.664434        4.316494        1.664434        0.000000
         1.000000      315.000000        2.051443        1.719984        4.306940        1.719984        0.000000
         1.000000      316.000000        2.091138        1.696331        4.336965        1.696331        0.000000
         1.000000      317.000000        2.100618        1.869760        4.254610        1.869760        0.000000
         1.000000      318.000000        2.137034        1.797167        4.302221        1.797167        0.000000
         1.000000      319.000000        2.157988        1.844638        4.311440        1.844638        0.000000
         1.000000      320.000000        2.171692        1.803334        4.296660        1.803334        0.000000
         1.000000      321.000000        2.186298        1.832545        4.313814        1.832545        0.000000
         1.000000      322.000000        2.208422        1.835948        4.301661        1.835948        0.000000
         1.000000      323.000000        2.221095        1.955176        4.221089        1.955176        0.000000
