#            band          E0[eV]         EHF[eV]         Eqp[eV]      Eqp-E0[eV]      Sc_Eqp[eV]       Width[eV]
       127.000000        6.270345        4.559617        5.950704       -0.319641        1.391381        0.002064
       128.000000        6.270355        4.559633        5.950901       -0.319454        1.391563        0.002064
       129.000000        6.943715       10.732653        7.205058        0.261344       -3.528002       -0.002402
       130.000000        6.943725       10.732666        7.205098        0.261373       -3.527976       -0.002401
