#             iks              ib         Eks[eV]         Ein[eV]      Sc_Ein[eV]        Eout[eV]       Diff.[eV]
         1.000000      127.000000        6.270345        6.270345        1.255642        5.917379       -0.352966
         1.000000      128.000000        6.270355        6.270355        1.255417        5.917212       -0.353143
         1.000000      129.000000        6.943715        6.943715       -3.478516        7.189482        0.245767
         1.000000      130.000000        6.943725        6.943725       -3.478564        7.189455        0.245730
