#            iprt         eigenv.           conv.
         1.000000      -10.598297        0.000000
         2.000000       -9.341880        0.000000
         3.000000       -9.041168        0.000000
         4.000000       -6.613615        0.000000
         5.000000       -5.882100        0.000000
         6.000000       -5.807268        0.000000
         7.000000       -5.716504        0.000000
         8.000000       -5.606331        0.000000
         9.000000       -5.460229        0.000000
        10.000000       -5.355236        0.000000
        11.000000       -5.239950        0.000000
        12.000000       -5.189222        0.000000
        13.000000       -4.978200        0.000000
        14.000000       -4.698690        0.000000
        15.000000       -4.605562        0.000000
        16.000000       -4.539639        0.000000
        17.000000       -4.244468        0.000000
        18.000000       -4.172022        0.000000
        19.000000       -4.146204        0.000000
        20.000000       -4.084696        0.000000
        21.000000       -4.058399        0.000000
        22.000000       -4.042246        0.000000
        23.000000       -3.991508        0.000000
        24.000000       -3.973185        0.000000
        25.000000       -3.957360        0.000000
        26.000000       -3.895993        0.000000
        27.000000       -3.868679        0.000000
        28.000000       -3.818406        0.000000
        29.000000       -3.726607        0.000000
        30.000000       -3.683018        0.000000
        31.000000       -3.632454        0.000000
        32.000000       -3.615987        0.000000
        33.000000       -3.610409        0.000000
        34.000000       -3.587376        0.000000
        35.000000       -3.552193        0.000000
        36.000000       -3.528954        0.000000
        37.000000       -3.503581        0.000000
        38.000000       -3.488109        0.000000
        39.000000       -3.468943        0.000000
        40.000000       -3.458255        0.000000
        41.000000       -3.420334        0.000000
        42.000000       -3.406166        0.000000
        43.000000       -3.388074        0.000000
        44.000000       -3.346330        0.000000
        45.000000       -3.342703        0.000000
        46.000000       -3.321353        0.000000
        47.000000       -3.291375        0.000000
        48.000000       -3.267216        0.000000
        49.000000       -3.244105        0.000000
        50.000000       -3.216114        0.000000
        51.000000       -3.194177        0.000000
        52.000000       -3.181590        0.000000
        53.000000       -3.143469        0.000000
        54.000000       -3.113512        0.000000
        55.000000       -3.101373        0.000000
        56.000000       -3.085104        0.000000
        57.000000       -3.070911        0.000000
        58.000000       -3.057706        0.000000
        59.000000       -3.050615        0.000000
        60.000000       -3.031417        0.000000
        61.000000       -3.003858        0.000000
        62.000000       -2.972395        0.000000
        63.000000       -2.967096        0.000000
        64.000000       -2.947613        0.000000
        65.000000       -2.926485        0.000000
        66.000000       -2.920421        0.000000
        67.000000       -2.908935        0.000000
        68.000000       -2.874300        0.000000
        69.000000       -2.855075        0.000000
        70.000000       -2.849341        0.000000
        71.000000       -2.845294        0.000000
        72.000000       -2.828480        0.000000
        73.000000       -2.805403        0.000000
        74.000000       -2.800592        0.000000
        75.000000       -2.787277        0.000000
        76.000000       -2.763168        0.000000
        77.000000       -2.761131        0.000000
        78.000000       -2.742848        0.000000
        79.000000       -2.730213        0.000000
        80.000000       -2.714391        0.000000
        81.000000       -2.691802        0.000000
        82.000000       -2.684971        0.000000
        83.000000       -2.656763        0.000000
        84.000000       -2.645546        0.000000
        85.000000       -2.630731        0.000000
        86.000000       -2.604064        0.000000
        87.000000       -2.598476        0.000000
        88.000000       -2.585680        0.000000
        89.000000       -2.577917        0.000000
        90.000000       -2.550595        0.000000
        91.000000       -2.526833        0.000000
        92.000000       -2.505139        0.000000
        93.000000       -2.483564        0.000000
        94.000000       -2.473543        0.000000
        95.000000       -2.454648        0.000000
        96.000000       -2.451153        0.000000
        97.000000       -2.434758        0.000000
        98.000000       -2.421551        0.000000
        99.000000       -2.389961        0.000000
       100.000000       -2.375964        0.000000
