#            band          E0[eV]         EHF[eV]         Eqp[eV]      Eqp-E0[eV]      Sc_Eqp[eV]       Width[eV]
       127.000000        6.270345        4.559617        6.096763       -0.173582        1.537275        0.002052
       128.000000        6.270355        4.559633        6.096818       -0.173537        1.537314        0.002052
       129.000000        6.943715       10.732653        7.396735        0.453020       -3.336698       -0.003283
       130.000000        6.943725       10.732666        7.396568        0.452843       -3.336879       -0.003284
