#            band          E0[eV]         EHF[eV]         Eqp[eV]      Eqp-E0[eV]      Sc_Eqp[eV]       Width[eV]
       127.000000        6.270345        4.559617        5.824536       -0.445809        1.265419        0.002103
       128.000000        6.270355        4.559633        5.824319       -0.446037        1.265186        0.002103
       129.000000        6.943715       10.732653        7.126625        0.182910       -3.606193       -0.002266
       130.000000        6.943725       10.732666        7.126679        0.182955       -3.606152       -0.002266
