#            band          E0[eV]         EHF[eV]         Eqp[eV]      Eqp-E0[eV]      Sc_Eqp[eV]       Width[eV]
       127.000000        6.270345        4.559617        5.785632       -0.484713        1.226809        0.002132
       128.000000        6.270355        4.559633        5.785638       -0.484717        1.226799        0.002132
       129.000000        6.943715       10.732653        7.074281        0.130566       -3.658418       -0.002238
       130.000000        6.943725       10.732666        7.074171        0.130446       -3.658542       -0.002238
