
     Program AVERAGE v.6.1 (svn rev. 13369) starts on 18Sep2017 at 17: 2:33 

     This program is part of the open-source Quantum ESPRESSO suite
     for quantum simulation of materials; please cite
         "P. Giannozzi et al., J. Phys.:Condens. Matter 21 395502 (2009);
          URL http://www.quantum-espresso.org", 
     in publications or presentations arising from this work. More details at
     http://www.quantum-espresso.org/quote

     Parallel version (MPI & OpenMP), running on      20 processor cores
     Number of MPI processes:                 1
     Threads/MPI process:                    20
     Reading header from file  n-atom.dat

   Info: using nr1, nr2, nr3 values from input

   Info: using nr1, nr2, nr3 values from input
 
     G-vector sticks info
     --------------------
     sticks:   dense  smooth     PW     G-vecs:    dense   smooth      PW
     Sum        9401    9401      1               684885   684885       1
 
     Reading data from file  n-atom.dat
    1.847610000    0.002242925   -0.010844035
    1.861296000    0.002338283   -0.010748109
    1.874982000    0.002431078   -0.010650146
    1.888668000    0.002521405   -0.010550135
    1.902354000    0.002609358   -0.010448069
    1.916040000    0.002695033   -0.010343943
    1.929726000    0.002778520   -0.010237754
    1.943412000    0.002859908   -0.010129504
    1.957098000    0.002939278   -0.010019197
    1.970784000    0.003016705   -0.009906838
    1.984470000    0.003092258   -0.009792438
    1.998156000    0.003165995   -0.009676008
    2.011842000    0.003237966   -0.009557564
    2.025528000    0.003308214   -0.009437123
    2.039214000    0.003376773   -0.009314706
    2.052900000    0.003443671   -0.009190336
    2.066586000    0.003508928   -0.009064036
    2.080272000    0.003572561   -0.008935835
    2.093958000    0.003634585   -0.008805761
    2.107644000    0.003695012   -0.008673844
    2.121330000    0.003753855   -0.008540116
    2.135016000    0.003811129   -0.008404612
    2.148702000    0.003866850   -0.008267367
    2.162388000    0.003921042   -0.008128417
    2.176074000    0.003973730   -0.007987800
    2.189760000    0.004024946   -0.007845556
    2.203446000    0.004074730   -0.007701727
    2.217132000    0.004123122   -0.007556353
    2.230818000    0.004170173   -0.007409481
    2.244504000    0.004215933   -0.007261157
    2.258190000    0.004260458   -0.007111429
    2.271876000    0.004303805   -0.006960347
    2.285562000    0.004346030   -0.006807966
    2.299248000    0.004387191   -0.006654342
    2.312934000    0.004427340   -0.006499532
    2.326620000    0.004466529   -0.006343600
    2.340306000    0.004504801   -0.006186610
    2.353992000    0.004542198   -0.006028631
    2.367678000    0.004578751   -0.005869735
    2.381364000    0.004614488   -0.005709997
    2.395050000    0.004649428   -0.005549495
    2.408736000    0.004683585   -0.005388310
    2.422422000    0.004716967   -0.005226527
    2.436108000    0.004749577   -0.005064233
    2.449794000    0.004781414   -0.004901517
    2.463480000    0.004812475   -0.004738471
    2.477166000    0.004842755   -0.004575187
    2.490852000    0.004872249   -0.004411760
    2.504538000    0.004900955   -0.004248285
    2.518224000    0.004928871   -0.004084857
    2.531910000    0.004956000   -0.003921570
    2.545596000    0.004982349   -0.003758519
    2.559282000    0.005007931   -0.003595797
    2.572968000    0.005032763   -0.003433495
    2.586654000    0.005056866   -0.003271703
    2.600340000    0.005080267   -0.003110507
    2.614026000    0.005102998   -0.002949992
    2.627712000    0.005125092   -0.002790240
    2.641398000    0.005146586   -0.002631328
    2.655084000    0.005167517   -0.002473332
    2.668770000    0.005187924   -0.002316323
    2.682456000    0.005207842   -0.002160370
    2.696142000    0.005227304   -0.002005538
    2.709828000    0.005246342   -0.001851890
    2.723514000    0.005264982   -0.001699483
    2.737200000    0.005283244   -0.001548374
    2.750886000    0.005301144   -0.001398616
    2.764572000    0.005318693   -0.001250260
    2.778258000    0.005335895   -0.001103355
    2.791944000    0.005352750   -0.000957947
    2.805630000    0.005369254   -0.000814081
    2.819316000    0.005385400   -0.000671798
    2.833002000    0.005401176   -0.000531141
    2.846688000    0.005416571   -0.000392148
    2.860374000    0.005431574   -0.000254858
    2.874060000    0.005446173   -0.000119308
    2.887746000    0.005460360    0.000014468
    2.901432000    0.005474128    0.000146436
    2.915118000    0.005487474    0.000276563
    2.928804000    0.005500402    0.000404818
    2.942490000    0.005512917    0.000531174
