#             iks              ib         Eks[eV]         Ein[eV]      Sc_Ein[eV]        Eout[eV]       Diff.[eV]
         1.000000      117.000000        4.943692        4.943692        1.565025        4.464032       -0.479660
         1.000000      118.000000        5.074025        5.074025        1.570094        4.588416       -0.485609
         1.000000      119.000000        5.074036        5.074036        1.569850        4.588248       -0.485788
         1.000000      120.000000        5.074043        5.074043        1.570149        4.588480       -0.485563
         1.000000      121.000000        5.074067        5.074067        1.569776        4.588214       -0.485853
         1.000000      122.000000        5.074072        5.074072        1.569770        4.588227       -0.485846
         1.000000      123.000000        5.074101        5.074101        1.569916        4.588362       -0.485739
         1.000000      124.000000        5.074107        5.074107        1.569296        4.587891       -0.486216
         1.000000      125.000000        5.074134        5.074134        1.569343        4.587958       -0.486177
         1.000000      126.000000        6.270341        6.270341        1.151824        5.838448       -0.431893
         1.000000      127.000000        6.270345        6.270345        1.151816        5.838456       -0.431889
         1.000000      128.000000        6.270355        6.270355        1.151664        5.838342       -0.432013
         1.000000      129.000000        6.943715        6.943715       -3.439551        7.220687        0.276973
         1.000000      130.000000        6.943725        6.943725       -3.439269        7.220927        0.277202
         1.000000      131.000000        6.943749        6.943749       -3.439287        7.220939        0.277190
         1.000000      132.000000        6.943756        6.943756       -3.438650        7.221461        0.277705
         1.000000      133.000000        6.943759        6.943759       -3.439563        7.220726        0.276967
         1.000000      134.000000        6.943762        6.943762       -3.439139        7.221076        0.277314
         1.000000      135.000000        7.371397        7.371397       -3.521555        7.682513        0.311116
         1.000000      136.000000        7.371404        7.371404       -3.522086        7.682094        0.310690
         1.000000      137.000000        7.371410        7.371410       -3.521522        7.682555        0.311145
         1.000000      138.000000        7.371431        7.371431       -3.523407        7.681050        0.309619
         1.000000      139.000000        7.371433        7.371433       -3.522747        7.681584        0.310151
         1.000000      140.000000        7.371438        7.371438       -3.524565        7.680117        0.308678
         1.000000      141.000000        7.775745        7.775745       -3.740936        8.142228        0.366482
         1.000000      142.000000        7.775750        7.775750       -3.741221        8.142000        0.366249
         1.000000      143.000000        7.775758        7.775758       -3.741689        8.141627        0.365869
         1.000000      144.000000        7.775782        7.775782       -3.743025        8.140560        0.364778
         1.000000      145.000000        8.686194        8.686194       -3.907865        9.037025        0.350831
         1.000000      146.000000        8.686201        8.686201       -3.908348        9.036612        0.350411
         1.000000      147.000000        8.686201        8.686201       -3.907981        9.036938        0.350737
         1.000000      148.000000        8.686218        8.686218       -3.908275        9.036693        0.350475
         1.000000      149.000000        8.686222        8.686222       -3.908919        9.036121        0.349900
         1.000000      150.000000        8.686224        8.686224       -3.908295        9.036686        0.350462
         1.000000      151.000000        8.686235        8.686235       -3.910107        9.035093        0.348858
         1.000000      152.000000        8.686241        8.686241       -3.910478        9.034829        0.348587
         1.000000      153.000000        8.686244        8.686244       -3.910034        9.035199        0.348955
         1.000000      154.000000        8.686263        8.686263       -3.911098        9.034277        0.348014
         1.000000      155.000000        8.686267        8.686267       -3.911216        9.034202        0.347935
         1.000000      156.000000        8.686282        8.686282       -3.914193        9.031625        0.345343
         1.000000      157.000000        8.810982        8.810982       -3.882093        9.192497        0.381515
         1.000000      158.000000        8.810987        8.810987       -3.882715        9.192004        0.381017
         1.000000      159.000000        8.810988        8.810988       -3.881893        9.192664        0.381675
         1.000000      160.000000        9.361942        9.361942       -4.068441        9.714033        0.352091
         1.000000      161.000000        9.361945        9.361945       -4.068813        9.713712        0.351767
         1.000000      162.000000        9.361946        9.361946       -4.068011        9.714397        0.352451
         1.000000      163.000000        9.361960        9.361960       -4.070687        9.712116        0.350156
         1.000000      164.000000        9.361960        9.361960       -4.069086        9.713498        0.351537
         1.000000      165.000000        9.361968        9.361968       -4.070753        9.712080        0.350111
         1.000000      166.000000        9.574620        9.574620       -4.051743        9.988099        0.413479
         1.000000      167.000000        9.574626        9.574626       -4.051618        9.988177        0.413551
         1.000000      168.000000        9.574627        9.574627       -4.051823        9.988037        0.413411
         1.000000      169.000000        9.574639        9.574639       -4.052675        9.987162        0.412523
         1.000000      170.000000        9.574643        9.574643       -4.052794        9.987191        0.412548
         1.000000      171.000000        9.574645        9.574645       -4.053462        9.986572        0.411928
         1.000000      172.000000        9.574664        9.574664       -4.054140        9.985758        0.411095
         1.000000      173.000000        9.574671        9.574671       -4.054615        9.985348        0.410677
         1.000000      174.000000        9.601811        9.601811       -4.447568        9.976316        0.374505
         1.000000      175.000000       10.505708       10.505708       -4.173998       10.762216        0.256508
         1.000000      176.000000       10.505716       10.505716       -4.174105       10.762144        0.256428
         1.000000      177.000000       10.505724       10.505724       -4.174234       10.762053        0.256329
         1.000000      178.000000       10.505729       10.505729       -4.173981       10.762233        0.256504
         1.000000      179.000000       10.505734       10.505734       -4.174029       10.762213        0.256479
         1.000000      180.000000       10.505735       10.505735       -4.174020       10.762216        0.256481
         1.000000      181.000000       10.505736       10.505736       -4.174092       10.762171        0.256435
         1.000000      182.000000       10.505743       10.505743       -4.174284       10.762028        0.256285
         1.000000      183.000000       10.505752       10.505752       -4.174431       10.761933        0.256181
         1.000000      184.000000       10.505753       10.505753       -4.174498       10.761881        0.256127
