#            band          E0[eV]         EHF[eV]         Eqp[eV]      Eqp-E0[eV]      Sc_Eqp[eV]       Width[eV]
       115.000000        4.943670        2.750021        4.470758       -0.472912        1.720933        0.006301
       116.000000        4.943685        2.750040        4.471079       -0.472606        1.721234        0.006306
       117.000000        4.943692        2.750047        4.470693       -0.472999        1.720841        0.006300
       118.000000        5.074025        2.867668        4.593782       -0.480243        1.726235        0.005956
       119.000000        5.074036        2.867677        4.593613       -0.480423        1.726056        0.005956
       120.000000        5.074043        2.867693        4.593847       -0.480196        1.726274        0.005956
       121.000000        5.074067        2.867716        4.593579       -0.480488        1.725984        0.005956
       122.000000        5.074072        2.867721        4.593592       -0.480481        1.725992        0.005956
       123.000000        5.074101        2.867757        4.593727       -0.480374        1.726091        0.005956
       124.000000        5.074107        2.867761        4.593254       -0.480853        1.725613        0.005956
       125.000000        5.074134        2.867792        4.593320       -0.480814        1.725649        0.005956
       126.000000        6.270341        4.559614        5.839985       -0.430356        1.280381        0.002098
       127.000000        6.270345        4.559617        5.839993       -0.430352        1.280386        0.002098
       128.000000        6.270355        4.559633        5.839879       -0.430476        1.280256        0.002098
       129.000000        6.943715       10.732653        7.219389        0.275674       -3.513271       -0.002292
       130.000000        6.943725       10.732666        7.219629        0.275904       -3.513045       -0.002292
       131.000000        6.943749       10.732695        7.219640        0.275892       -3.513062       -0.002292
       132.000000        6.943756       10.732703        7.220163        0.276407       -3.512548       -0.002292
       133.000000        6.943759       10.732707        7.219428        0.275668       -3.513287       -0.002292
       134.000000        6.943762       10.732714        7.219778        0.276016       -3.512944       -0.002292
       135.000000        7.371397       11.288442        7.681487        0.310089       -3.606963       -0.002793
       136.000000        7.371404       11.288452        7.681065        0.309662       -3.607394       -0.002793
       137.000000        7.371410       11.288455        7.681528        0.310118       -3.606934       -0.002793
       138.000000        7.371431       11.288476        7.680018        0.308588       -3.608465       -0.002793
       139.000000        7.371433       11.288478        7.680554        0.309121       -3.607931       -0.002793
       140.000000        7.371438       11.288481        7.679082        0.307644       -3.609407       -0.002793
       141.000000        7.775745       11.986391        8.139781        0.364036       -3.846644       -0.003138
       142.000000        7.775750       11.986396        8.139550        0.363800       -3.846879       -0.003140
       143.000000        7.775758       11.986405        8.139173        0.363415       -3.847266       -0.003145
       144.000000        7.775782       11.986424        8.138094        0.362312       -3.848051       -0.003145
       145.000000        8.686194       13.051910        9.045962        0.359768       -4.004092       -0.008504
       146.000000        8.686201       13.051914        9.045611        0.359410       -4.004385       -0.008536
       147.000000        8.686201       13.051918        9.045892        0.359690       -4.004158       -0.008507
       148.000000        8.686218       13.051930        9.045671        0.359452       -4.004367       -0.008531
       149.000000        8.686222       13.051932        9.045239        0.359017       -4.004688       -0.008593
       150.000000        8.686224       13.051936        9.045655        0.359431       -4.004406       -0.008529
       151.000000        8.686235       13.051946        9.044379        0.358144       -4.005431       -0.008694
       152.000000        8.686241       13.051957        9.044082        0.357841       -4.004660       -0.008638
       153.000000        8.686244       13.051963        9.044414        0.358169       -4.005475       -0.008662
       154.000000        8.686263       13.051972        9.043676        0.357414       -4.004949       -0.008711
       155.000000        8.686267       13.051982        9.043573        0.357306       -4.005097       -0.008705
       156.000000        8.686282       13.051996        9.041426        0.355144       -4.006912       -0.008943
       157.000000        8.810982       13.188349        9.190177        0.379194       -3.998232       -0.004584
       158.000000        8.810987       13.188356        9.189676        0.378689       -3.998740       -0.004589
       159.000000        8.810988       13.188357        9.190346        0.379358       -3.998072       -0.004582
       160.000000        9.361942       13.863065        9.697016        0.335074       -4.166545       -0.013150
       161.000000        9.361945       13.863062        9.696697        0.334753       -4.166861       -0.013162
       162.000000        9.361946       13.863065        9.697391        0.335445       -4.166166       -0.013123
       163.000000        9.361960       13.863073        9.695061        0.333101       -4.168518       -0.013284
       164.000000        9.361960       13.863074        9.696482        0.334522       -4.167088       -0.013167
       165.000000        9.361968       13.863081        9.695053        0.333085       -4.168531       -0.013248
       166.000000        9.574620       14.185344        9.997179        0.422559       -4.187687       -0.006505
       167.000000        9.574626       14.185354        9.997272        0.422646       -4.187603       -0.006505
       168.000000        9.574627       14.185356        9.997117        0.422490       -4.187761       -0.006506
       169.000000        9.574639       14.185364        9.996513        0.421874       -4.188663       -0.006514
       170.000000        9.574643       14.185368        9.996497        0.421854       -4.188687       -0.006512
       171.000000        9.574645       14.185367        9.995883        0.421238       -4.189298       -0.006517
       172.000000        9.574664       14.185385        9.995140        0.420476       -4.190048       -0.006526
       173.000000        9.574671       14.185393        9.994723        0.420052       -4.190472       -0.006531
       174.000000        9.601811       14.591538       10.034274        0.432462       -4.557193       -0.007212
       175.000000       10.505708       15.036257       10.777350        0.271642       -4.258170       -0.013293
       176.000000       10.505716       15.036267       10.777270        0.271555       -4.258260       -0.013295
       177.000000       10.505724       15.036270       10.777177        0.271452       -4.258358       -0.013288
       178.000000       10.505729       15.036272       10.777359        0.271629       -4.258176       -0.013308
       179.000000       10.505734       15.036288       10.777339        0.271605       -4.258212       -0.013304
       180.000000       10.505735       15.036285       10.777336        0.271601       -4.258212       -0.013310
       181.000000       10.505736       15.036292       10.777299        0.271563       -4.258256       -0.013297
       182.000000       10.505743       15.036298       10.777133        0.271390       -4.258428       -0.013308
       183.000000       10.505752       15.036298       10.777047        0.271295       -4.258514       -0.013289
       184.000000       10.505753       15.036299       10.776988        0.271235       -4.258575       -0.013288
