#            band          E0[eV]          Sx[eV]        Vxcl[eV]       Vxcnl[eV]         EHF[eV]
       126.000000        6.270341      -13.034253      -11.323526        0.000000        4.559614
       127.000000        6.270345      -13.034253      -11.323526        0.000000        4.559617
       128.000000        6.270355      -13.034245      -11.323523        0.000000        4.559633
       129.000000        6.943715       -5.160320       -8.949258        0.000000       10.732653
       130.000000        6.943725       -5.160320       -8.949262        0.000000       10.732666
       131.000000        6.943749       -5.160301       -8.949247        0.000000       10.732695
       132.000000        6.943756       -5.160289       -8.949237        0.000000       10.732703
       133.000000        6.943759       -5.160293       -8.949240        0.000000       10.732707
       134.000000        6.943762       -5.160297       -8.949249        0.000000       10.732714
       135.000000        7.371397       -5.424010       -9.341054        0.000000       11.288442
       136.000000        7.371404       -5.424009       -9.341057        0.000000       11.288452
       137.000000        7.371410       -5.424002       -9.341047        0.000000       11.288455
       138.000000        7.371431       -5.424000       -9.341045        0.000000       11.288476
       139.000000        7.371433       -5.424001       -9.341046        0.000000       11.288478
       140.000000        7.371438       -5.423995       -9.341038        0.000000       11.288481
       141.000000        7.775745       -5.863621      -10.074267        0.000000       11.986391
       142.000000        7.775750       -5.863626      -10.074271        0.000000       11.986396
       143.000000        7.775758       -5.863633      -10.074279        0.000000       11.986405
       144.000000        7.775782       -5.863637      -10.074279        0.000000       11.986424
       145.000000        8.686194       -5.184440       -9.550156        0.000000       13.051910
       146.000000        8.686201       -5.184431       -9.550144        0.000000       13.051914
       147.000000        8.686201       -5.184438       -9.550155        0.000000       13.051918
       148.000000        8.686218       -5.184428       -9.550140        0.000000       13.051930
       149.000000        8.686222       -5.184420       -9.550130        0.000000       13.051932
       150.000000        8.686224       -5.184418       -9.550130        0.000000       13.051936
       151.000000        8.686235       -5.184416       -9.550127        0.000000       13.051946
       152.000000        8.686241       -5.184420       -9.550136        0.000000       13.051957
       153.000000        8.686244       -5.184415       -9.550134        0.000000       13.051963
       154.000000        8.686263       -5.184410       -9.550119        0.000000       13.051972
       155.000000        8.686267       -5.184410       -9.550124        0.000000       13.051982
       156.000000        8.686282       -5.184406       -9.550120        0.000000       13.051996
       157.000000        8.810982       -5.629702      -10.007068        0.000000       13.188349
       158.000000        8.810987       -5.629698      -10.007067        0.000000       13.188356
       159.000000        8.810988       -5.629695      -10.007064        0.000000       13.188357
       160.000000        9.361942       -4.617809       -9.118933        0.000000       13.863065
       161.000000        9.361945       -4.617797       -9.118914        0.000000       13.863062
       162.000000        9.361946       -4.617813       -9.118932        0.000000       13.863065
       163.000000        9.361960       -4.617802       -9.118915        0.000000       13.863073
       164.000000        9.361960       -4.617807       -9.118920        0.000000       13.863074
       165.000000        9.361968       -4.617809       -9.118922        0.000000       13.863081
       166.000000        9.574620       -5.020417       -9.631141        0.000000       14.185344
